iter	Passed	Remaining
0	60	60188
1	62	30983
2	63	21249
3	65	16428
4	67	13530
5	70	11619
6	71	10213
7	74	9225
8	76	8444
9	78	7774
10	80	7217
11	82	6761
12	84	6384
13	86	6067
14	88	5782
15	90	5592
16	92	5374
17	94	5168
18	96	4995
19	99	4855
20	101	4721
21	103	4582
22	105	4461
23	108	4393
24	109	4283
25	111	4180
26	113	4090
27	115	4008
28	117	3938
29	119	3875
30	121	3811
31	124	3777
32	126	3716
33	128	3659
34	130	3604
35	132	3556
36	134	3509
37	136	3459
38	139	3431
39	141	3396
40	143	3353
41	145	3314
42	147	3273
43	149	3242
44	151	3205
45	153	3174
46	155	3148
47	158	3133
48	159	3102
49	161	3076
50	163	3047
51	165	3021
52	167	2993
53	169	2971
54	172	2955
55	174	2941
56	176	2920
57	178	2895
58	180	2871
59	182	2852
60	184	2834
61	185	2811
62	187	2795
63	190	2788
64	192	2767
65	194	2754
66	196	2737
67	198	2725
68	200	2707
69	202	2690
70	205	2685
71	208	2680
72	210	2669
73	212	2655
74	214	2640
75	215	2624
76	218	2617
77	221	2615
78	223	2603
79	225	2589
80	227	2577
81	229	2566
82	231	2552
83	232	2538
84	235	2536
85	237	2528
86	239	2515
87	241	2501
88	243	2489
89	245	2481
90	247	2471
91	249	2459
92	251	2456
93	253	2447
94	255	2436
95	257	2425
96	259	2415
97	261	2409
98	263	2398
99	265	2387
100	267	2384
101	270	2377
102	271	2366
103	273	2356
104	275	2346
105	277	2340
106	279	2332
107	281	2323
108	283	2319
109	286	2314
110	287	2306
111	289	2297
112	291	2291
113	293	2284
114	295	2275
115	297	2267
116	300	2266
117	302	2261
118	304	2252
119	306	2244
120	308	2238
121	310	2233
122	312	2225
123	314	2218
124	316	2215
125	319	2212
126	320	2206
127	323	2200
128	325	2195
129	327	2189
130	328	2181
131	330	2174
132	333	2174
133	335	2170
134	337	2162
135	339	2156
136	341	2150
137	343	2146
138	345	2139
139	347	2131
140	349	2129
141	351	2124
142	353	2118
143	355	2111
144	357	2105
145	359	2103
146	361	2098
147	363	2092
148	365	2087
149	367	2080
150	368	2074
151	370	2068
152	372	2062
153	374	2057
154	376	2052
155	378	2046
156	380	2042
157	382	2037
158	384	2031
159	385	2025
160	387	2019
161	389	2015
162	391	2010
163	393	2005
164	395	1999
165	397	1997
166	399	1992
167	401	1985
168	402	1980
169	404	1975
170	406	1972
171	408	1967
172	410	1961
173	412	1956
174	414	1954
175	416	1949
176	418	1944
177	420	1940
178	422	1939
179	424	1934
180	426	1930
181	428	1926
182	430	1922
183	432	1917
184	434	1912
185	436	1908
186	438	1905
187	440	1902
188	442	1897
189	444	1893
190	446	1892
191	448	1888
192	450	1883
193	453	1883
194	455	1879
195	456	1874
196	458	1869
197	460	1866
198	462	1862
199	464	1857
200	466	1853
201	468	1849
202	470	1845
203	472	1843
204	474	1838
205	476	1834
206	477	1830
207	479	1826
208	481	1822
209	483	1818
210	485	1814
211	487	1810
212	488	1806
213	490	1802
214	492	1799
215	494	1795
216	496	1791
217	498	1787
218	500	1784
219	502	1779
220	503	1776
221	505	1772
222	507	1768
223	509	1764
224	510	1760
225	513	1758
226	515	1754
227	516	1749
228	518	1745
229	520	1741
230	522	1737
231	523	1733
232	525	1729
233	527	1725
234	529	1722
235	530	1718
236	532	1715
237	534	1711
238	536	1707
239	538	1704
240	540	1700
241	541	1697
242	543	1693
243	545	1689
244	547	1686
245	548	1682
246	550	1678
247	552	1675
248	554	1672
249	556	1668
250	557	1664
251	559	1661
252	561	1658
253	563	1655
254	565	1652
255	567	1648
256	569	1646
257	571	1642
258	572	1639
259	574	1635
260	576	1631
261	578	1629
262	580	1626
263	582	1622
264	584	1620
265	586	1617
266	588	1615
267	590	1612
268	592	1609
269	594	1607
270	596	1604
271	598	1601
272	600	1598
273	602	1595
274	604	1593
275	605	1589
276	607	1586
277	609	1584
278	612	1582
279	614	1579
280	615	1575
281	617	1572
282	619	1569
